Day  ,JD  ,Month  ,State_id  ,Year  ,PRCP (in),SNOW (in),TAVE (F),TMAX (F),TMIN (F) 
23,266,9,'212142',1911,0,.,53,62,43 
24,267,9,'212142',1911,0,.,41,52,30 
25,268,9,'212142',1911,0,.,44,59,28 
26,269,9,'212142',1911,0,.,47,65,29 
27,270,9,'212142',1911,0,.,49,60,37 
28,271,9,'212142',1911,0,.,48,57,39 
29,272,9,'212142',1911,0.4,.,48,61,35 
30,273,9,'212142',1911,0,.,48,60,36 
1,274,10,'212142',1911,0,0,54,67,40 
2,275,10,'212142',1911,0,0,48,59,37 
3,276,10,'212142',1911,0.15,0,54,63,44 
4,277,10,'212142',1911,0.18,0,47,55,39 
5,278,10,'212142',1911,0,0,42,53,30 
6,279,10,'212142',1911,0.15,0,49,62,35 
7,280,10,'212142',1911,0,0,48,65,30 
8,281,10,'212142',1911,0,0,54,70,37 
9,282,10,'212142',1911,0,0,53,68,37 
10,283,10,'212142',1911,0,0,52,66,38 
11,284,10,'212142',1911,0,0,56,71,40 
12,285,10,'212142',1911,0,0,50,60,40 
13,286,10,'212142',1911,0,0,50,56,44 
14,287,10,'212142',1911,0.24,0,56,65,46 
15,288,10,'212142',1911,0,0,50,60,39 
16,289,10,'212142',1911,0,0,54,62,45 
17,290,10,'212142',1911,0,0,45,59,31 
18,291,10,'212142',1911,0,0,40,46,33 
19,292,10,'212142',1911,0,0,38,42,34 
20,293,10,'212142',1911,0,0,39,43,35 
21,294,10,'212142',1911,0,0,32,41,23 
22,295,10,'212142',1911,0,0,30,37,23 
23,296,10,'212142',1911,0,0,32,40,23 
24,297,10,'212142',1911,0,0,33,42,24 
25,298,10,'212142',1911,0,0,28,34,22 
26,299,10,'212142',1911,0,0,25,33,17 
27,300,10,'212142',1911,0,0,24,36,12 
28,301,10,'212142',1911,0,0,31,46,16 
29,302,10,'212142',1911,0,0,36,47,24 
30,303,10,'212142',1911,0,0,23,32,13 
31,304,10,'212142',1911,0,0,21,30,11 
1,305,11,'212142',1911,0,0,18,25,10 
2,306,11,'212142',1911,0,0,20,34,5 
3,307,11,'212142',1911,0,0,19,32,6 
4,308,11,'212142',1911,0,0,33,47,18 
5,309,11,'212142',1911,0,0,29,39,19 
6,310,11,'212142',1911,0,0,34,37,31 
7,311,11,'212142',1911,0,0,36,43,29 
8,312,11,'212142',1911,0,0,35,40,30 
9,313,11,'212142',1911,0,0,37,42,32 
10,314,11,'212142',1911,0.23,0.5,8,14,2 
11,315,11,'212142',1911,0.4,4,7,12,2 
12,316,11,'212142',1911,0.1,1,-2,6,-9 
13,317,11,'212142',1911,0,0,.,.,-9 
14,318,11,'212142',1911,0,0,.,14,. 
15,319,11,'212142',1911,0,0,-9,5,-22 
16,320,11,'212142',1911,0,0,3,20,-14 
17,321,11,'212142',1911,0,0,7,18,-5 
18,322,11,'212142',1911,0,0,2,11,-7 
19,323,11,'212142',1911,0,0,6,17,-6 
20,324,11,'212142',1911,0.26,4,17,26,7 
21,325,11,'212142',1911,0,0,8,27,-11 
22,326,11,'212142',1911,0.23,2,12,21,2 
23,327,11,'212142',1911,0,0,0,6,-6 
24,328,11,'212142',1911,0,0,5,20,-10 
25,329,11,'212142',1911,0,0,21,37,4 
26,330,11,'212142',1911,0,0,28,41,14 
27,331,11,'212142',1911,0,0,21,24,17 
28,332,11,'212142',1911,0,0,6,10,1 
29,333,11,'212142',1911,0,0,9,28,-10 
30,334,11,'212142',1911,0,0,20,35,5 
1,335,12,'212142',1911,0,0,21,38,4 
2,336,12,'212142',1911,0,0,13,30,-5 
3,337,12,'212142',1911,0,0,17,24,9 
4,338,12,'212142',1911,0,0,25,40,10 
5,339,12,'212142',1911,0,0,26,42,9 
6,340,12,'212142',1911,0,0,21,32,10 
7,341,12,'212142',1911,0,0,11,24,-3 
8,342,12,'212142',1911,0,0,15,34,-4 
9,343,12,'212142',1911,0,0,25,45,5 
10,344,12,'212142',1911,0,0,22,32,12 
11,345,12,'212142',1911,0,0,19,25,12 
12,346,12,'212142',1911,0,0,22,30,14 
13,347,12,'212142',1911,0,0,14,28,-1 
14,348,12,'212142',1911,0,0,17,27,7 
15,349,12,'212142',1911,0,0,16,24,8 
16,350,12,'212142',1911,0,0,13,15,10 
17,351,12,'212142',1911,0,0,16,20,12 
18,352,12,'212142',1911,0,0,13,24,2 
19,353,12,'212142',1911,0,0,19,25,12 
20,354,12,'212142',1911,0,0,22,29,15 
21,355,12,'212142',1911,0.3,3,17,32,1 
22,356,12,'212142',1911,0,0,24,25,22 
23,357,12,'212142',1911,0,0,21,25,16 
24,358,12,'212142',1911,0,0,19,26,12 
25,359,12,'212142',1911,0,0,4,10,-2 
26,360,12,'212142',1911,0,0,1,16,-15 
27,361,12,'212142',1911,0,0,-8,-6,-10 
28,362,12,'212142',1911,0,0,-11,2,-24 
29,363,12,'212142',1911,0,0,-6,2,-14 
30,364,12,'212142',1911,0,0,-2,7,-10 
31,365,12,'212142',1911,0,0,-11,-10,-12 
1,1,1,'212142',1912,0.17,1.7,-20,-9,-30 
2,2,1,'212142',1912,0,0,-25,-10,-40 
3,3,1,'212142',1912,0,0,-24,-8,-40 
4,4,1,'212142',1912,0,0,-22,-12,-31 
5,5,1,'212142',1912,0,0,-30,-23,-36 
6,6,1,'212142',1912,0,0,-32,-21,-42 
7,7,1,'212142',1912,0,0,-25,-4,-45 
8,8,1,'212142',1912,0,0,-16,-1,-31 
9,9,1,'212142',1912,0,0,-23,-18,-28 
10,10,1,'212142',1912,0,0,-30,-18,-42 
11,11,1,'212142',1912,0,0,-37,-28,-45 
12,12,1,'212142',1912,0,0,-29,-6,-51 
13,13,1,'212142',1912,0,0,-25,-4,-46 
14,14,1,'212142',1912,0,0,-14,-13,-15 
15,15,1,'212142',1912,0,0,-19,0,-38 
16,16,1,'212142',1912,0,0,-9,13,-30 
17,17,1,'212142',1912,0,0,3,5,0 
18,18,1,'212142',1912,0,0,-14,-10,-18 
19,19,1,'212142',1912,0,0,-16,0,-32 
20,20,1,'212142',1912,0,0,-13,5,-31 
21,21,1,'212142',1912,0,0,-10,4,-24 
22,22,1,'212142',1912,0,0,5,20,-10 
23,23,1,'212142',1912,0,0,-1,10,-12 
24,24,1,'212142',1912,0,0,-4,10,-18 
25,25,1,'212142',1912,0,0,2,15,-12 
26,26,1,'212142',1912,2.25,4,4,9,-1 
27,27,1,'212142',1912,0,0,-10,16,-35 
28,28,1,'212142',1912,0,0,-13,9,-35 
29,29,1,'212142',1912,0,0,-2,21,-24 
30,30,1,'212142',1912,0,0,-2,20,-24 
31,31,1,'212142',1912,0,0,8,20,-5 
1,32,2,'212142',1912,0,0,-4,-3,-5 
2,33,2,'212142',1912,0,0,-21,-8,-33 
3,34,2,'212142',1912,0,0,-17,-1,-32 
4,35,2,'212142',1912,.,2.1,-12,5,-28 
5,36,2,'212142',1912,0.28,0,5,15,-5 
6,37,2,'212142',1912,0,0,-3,5,-10 
7,38,2,'212142',1912,0,0,-18,-1,-35 
8,39,2,'212142',1912,0,0,-22,-5,-38 
9,40,2,'212142',1912,0,0,-27,-14,-39 
10,41,2,'212142',1912,0,0,-12,17,-40 
11,42,2,'212142',1912,0,0,10,14,5 
12,43,2,'212142',1912,0,0,18,22,14 
13,44,2,'212142',1912,0,0,12,27,-4 
14,45,2,'212142',1912,0,0,27,37,17 
15,46,2,'212142',1912,0,0,28,39,17 
16,47,2,'212142',1912,0,0,31,43,18 
17,48,2,'212142',1912,0,0,29,40,17 
18,49,2,'212142',1912,0,0,24,31,16 
19,50,2,'212142',1912,0,0,21,32,10 
20,51,2,'212142',1912,0,0,17,22,12 
21,52,2,'212142',1912,0,0,8,12,4 
22,53,2,'212142',1912,0,0,12,30,-6 
23,54,2,'212142',1912,0,0,24,42,5 
24,55,2,'212142',1912,0,0,17,26,8 
25,56,2,'212142',1912,0,0,2,5,-2 
26,57,2,'212142',1912,0,0,-5,10,-20 
27,58,2,'212142',1912,0.3,3,-4,10,-17 
28,59,2,'212142',1912,0.1,1,-3,8,-13 
29,60,2,'212142',1912,0,0,-8,4,-20 
1,61,3,'212142',1912,0,0,-15,1,-30 
2,62,3,'212142',1912,0,0,-7,16,-29 
3,63,3,'212142',1912,0,0,-2,20,-24 
4,64,3,'212142',1912,0.05,1,13,28,-2 
5,65,3,'212142',1912,0,0,4,25,-17 
6,66,3,'212142',1912,0,0,5,24,-15 
7,67,3,'212142',1912,0.12,2,18,24,12 
8,68,3,'212142',1912,0,0,-2,17,-20 
9,69,3,'212142',1912,0,0,4,28,-21 
10,70,3,'212142',1912,0,0,14,37,-10 
11,71,3,'212142',1912,0,0,13,27,-2 
12,72,3,'212142',1912,0,0,12,32,-9 
13,73,3,'212142',1912,0,0,12,28,-4 
14,74,3,'212142',1912,0,0,9,28,-10 
15,75,3,'212142',1912,0,0,12,37,-14 
16,76,3,'212142',1912,0,0,19,38,0 
17,77,3,'212142',1912,0,0,21,30,11 
18,78,3,'212142',1912,0,0,47,50,43 
19,79,3,'212142',1912,0,0,10,14,6 
20,80,3,'212142',1912,0,0,7,18,-5 
21,81,3,'212142',1912,0,0,2,19,-16 
22,82,3,'212142',1912,0,0,21,42,0 
23,83,3,'212142',1912,0,0,29,46,11 
24,84,3,'212142',1912,0,0,31,50,12 
25,85,3,'212142',1912,0,0,24,38,10 
26,86,3,'212142',1912,0.1,2,32,40,23 
27,87,3,'212142',1912,0,0,36,48,23 
28,88,3,'212142',1912,0,0,40,50,30 
29,89,3,'212142',1912,0,0,29,40,17 
30,90,3,'212142',1912,0,0,29,40,18 
31,91,3,'212142',1912,0,0,25,40,10 
1,92,4,'212142',1912,0,0,36,52,20 
2,93,4,'212142',1912,0,0,34,48,19 
3,94,4,'212142',1912,0,0,45,68,22 
4,95,4,'212142',1912,0,0,67,78,55 
5,96,4,'212142',1912,0,0,60,78,42 
6,97,4,'212142',1912,.,0,38,42,33 
7,98,4,'212142',1912,0,0,38,54,22 
8,99,4,'212142',1912,0,0,51,74,28 
9,100,4,'212142',1912,0,0,47,65,28 
10,101,4,'212142',1912,0,0,59,75,42 
11,102,4,'212142',1912,0,0,53,65,40 
12,103,4,'212142',1912,0,0,50,58,42 
13,104,4,'212142',1912,0,0,57,68,45 
14,105,4,'212142',1912,0.1,0,50,54,46 
15,106,4,'212142',1912,0,0,37,42,32 
16,107,4,'212142',1912,0,0,39,49,28 
17,108,4,'212142',1912,0,0,36,52,19 
18,109,4,'212142',1912,0,0,39,57,21 
19,110,4,'212142',1912,0,0,45,67,23 
20,111,4,'212142',1912,0,0,46,64,28 
21,112,4,'212142',1912,0,0,45,52,37 
22,113,4,'212142',1912,0,0,40,60,19 
23,114,4,'212142',1912,0.05,0,45,60,30 
24,115,4,'212142',1912,0,0,46,61,30 
25,116,4,'212142',1912,0,0,46,62,29 
26,117,4,'212142',1912,0.8,0,47,55,39 
27,118,4,'212142',1912,0.25,0,37,58,15 
28,119,4,'212142',1912,0.06,0,42,55,28 
29,120,4,'212142',1912,0,0,42,60,24 
30,121,4,'212142',1912,0,0,45,55,35 
1,122,5,'212142',1912,0.15,.,55,70,40 
2,123,5,'212142',1912,.,.,59,77,41 
3,124,5,'212142',1912,1,.,62,73,50 
4,125,5,'212142',1912,0.2,.,57,68,45 
5,126,5,'212142',1912,0.49,.,55,68,41 
6,127,5,'212142',1912,0.2,.,51,59,43 
7,128,5,'212142',1912,0.1,.,44,49,38 
8,129,5,'212142',1912,0.12,.,51,64,37 
9,130,5,'212142',1912,0,.,64,82,45 
10,131,5,'212142',1912,0.2,.,55,58,52 
11,132,5,'212142',1912,.,.,48,63,33 
12,133,5,'212142',1912,.,.,43,56,29 
13,134,5,'212142',1912,0,.,39,52,26 
14,135,5,'212142',1912,0.1,.,45,57,32 
15,136,5,'212142',1912,0.21,.,48,58,38 
16,137,5,'212142',1912,0,.,50,60,39 
17,138,5,'212142',1912,.,.,61,80,41 
18,139,5,'212142',1912,0.12,.,52,67,36 
19,140,5,'212142',1912,0.03,.,47,54,39 
20,141,5,'212142',1912,0.05,.,57,69,45 
21,142,5,'212142',1912,0,.,55,61,48 
22,143,5,'212142',1912,0.65,.,55,64,45 
23,144,5,'212142',1912,.,.,55,62,48 
24,145,5,'212142',1912,.,.,60,74,45 
25,146,5,'212142',1912,.,.,69,82,56 
26,147,5,'212142',1912,.,.,69,83,55 
27,148,5,'212142',1912,1.36,.,63,70,56 
28,149,5,'212142',1912,0.08,.,61,70,51 
29,150,5,'212142',1912,0,.,57,69,45 
30,151,5,'212142',1912,.,.,61,78,44 
31,152,5,'212142',1912,0.25,.,48,70,25 
1,153,6,'212142',1912,0,.,65,78,51 
2,154,6,'212142',1912,0,.,55,68,42 
3,155,6,'212142',1912,0.12,.,56,65,46 
4,156,6,'212142',1912,0.02,.,54,68,40 
5,157,6,'212142',1912,0.05,.,56,66,45 
6,158,6,'212142',1912,0,.,52,64,40 
7,159,6,'212142',1912,0,.,52,71,32 
8,160,6,'212142',1912,0,.,63,74,52 
9,161,6,'212142',1912,0,.,60,75,45 
10,162,6,'212142',1912,0,.,59,70,47 
11,163,6,'212142',1912,0.05,.,66,74,58 
12,164,6,'212142',1912,0,.,63,76,50 
13,165,6,'212142',1912,0,.,62,71,52 
14,166,6,'212142',1912,0.1,.,58,65,51 
15,167,6,'212142',1912,0.65,.,57,60,53 
16,168,6,'212142',1912,0.55,.,55,60,50 
17,169,6,'212142',1912,0,.,51,62,40 
18,170,6,'212142',1912,0,.,52,71,32 
19,171,6,'212142',1912,0,.,62,78,45 
20,172,6,'212142',1912,0,.,62,75,48 
21,173,6,'212142',1912,0,.,62,81,42 
22,174,6,'212142',1912,0,.,71,82,60 
23,175,6,'212142',1912,0,.,70,86,54 
24,176,6,'212142',1912,0,.,73,88,58 
25,177,6,'212142',1912,0,.,75,91,58 
26,178,6,'212142',1912,0,.,68,85,50 
27,179,6,'212142',1912,0,.,71,86,55 
28,180,6,'212142',1912,0,.,80,98,62 
29,181,6,'212142',1912,0,.,83,99,67 
30,182,6,'212142',1912,0,.,80,95,65 
1,183,7,'212142',1912,0,.,75,88,62 
2,184,7,'212142',1912,0,.,75,88,62 
3,185,7,'212142',1912,0,.,75,87,62 
4,186,7,'212142',1912,0,.,74,89,58 
5,187,7,'212142',1912,0.65,.,74,86,62 
6,188,7,'212142',1912,0,.,75,88,62 
7,189,7,'212142',1912,0,.,77,90,64 
8,190,7,'212142',1912,0,.,76,90,61 
9,191,7,'212142',1912,1.4,.,67,76,58 
10,192,7,'212142',1912,0,.,63,75,51 
11,193,7,'212142',1912,0.1,.,68,80,55 
12,194,7,'212142',1912,1.3,.,71,81,60 
13,195,7,'212142',1912,0,.,69,82,55 
14,196,7,'212142',1912,0.12,.,67,78,56 
15,197,7,'212142',1912,0.15,.,54,68,39 
16,198,7,'212142',1912,0,.,64,77,50 
17,199,7,'212142',1912,0.06,.,61,72,49 
18,200,7,'212142',1912,0,.,57,73,41 
19,201,7,'212142',1912,0,.,54,63,44 
20,202,7,'212142',1912,0.08,.,62,71,52 
21,203,7,'212142',1912,0,.,63,75,50 
22,204,7,'212142',1912,0.15,.,71,83,59 
23,205,7,'212142',1912,0.15,.,73,84,62 
24,206,7,'212142',1912,0,.,71,83,59 
25,207,7,'212142',1912,0,.,67,79,54 
26,208,7,'212142',1912,0,.,71,86,55 
27,209,7,'212142',1912,0,.,72,87,57 
28,210,7,'212142',1912,0.05,.,65,78,51 
29,211,7,'212142',1912,0,.,66,84,48 
30,212,7,'212142',1912,0,.,65,79,51 
31,213,7,'212142',1912,0.15,.,60,74,46 
1,214,8,'212142',1912,0,.,57,72,41 
2,215,8,'212142',1912,0,.,52,68,36 
3,216,8,'212142',1912,0,.,54,73,35 
4,217,8,'212142',1912,0,.,57,72,41 
5,218,8,'212142',1912,1.1,.,65,75,54 
6,219,8,'212142',1912,0.7,.,66,76,55 
7,220,8,'212142',1912,0.5,.,67,77,56 
8,221,8,'212142',1912,1.4,.,64,74,54 
9,222,8,'212142',1912,0,.,64,75,53 
10,223,8,'212142',1912,0,.,65,79,51 
11,224,8,'212142',1912,0,.,66,83,49 
12,225,8,'212142',1912,0,.,72,82,62 
13,226,8,'212142',1912,0,.,65,77,53 
14,227,8,'212142',1912,0,.,62,73,51 
15,228,8,'212142',1912,0,.,64,78,49 
16,229,8,'212142',1912,0,.,63,73,53 
17,230,8,'212142',1912,0.65,.,61,68,54 
18,231,8,'212142',1912,0,.,63,72,54 
19,232,8,'212142',1912,0,.,65,75,55 
20,233,8,'212142',1912,0,.,64,71,56 
21,234,8,'212142',1912,0,.,65,81,48 
22,235,8,'212142',1912,0,.,62,72,52 
23,236,8,'212142',1912,0,.,60,79,40 
24,237,8,'212142',1912,0,.,68,83,53 
25,238,8,'212142',1912,0,.,72,92,52 
26,239,8,'212142',1912,0,.,64,73,54 
27,240,8,'212142',1912,0,.,63,73,52 
28,241,8,'212142',1912,0,.,58,68,48 
29,242,8,'212142',1912,0,.,60,73,46 
30,243,8,'212142',1912,0.7,.,62,72,51 
31,244,8,'212142',1912,0,.,58,68,48 
1,245,9,'212142',1912,0.1,0,68,86,50 
2,246,9,'212142',1912,0,0,62,82,41 
3,247,9,'212142',1912,0,0,67,85,48 
4,248,9,'212142',1912,0,0,75,90,60 
5,249,9,'212142',1912,0,0,80,92,67 
6,250,9,'212142',1912,0,0,62,81,43 
7,251,9,'212142',1912,0,0,66,86,45 
8,252,9,'212142',1912,0,0,71,94,48 
9,253,9,'212142',1912,0.05,0,70,78,61 
10,254,9,'212142',1912,0,0,56,63,48 
11,255,9,'212142',1912,0,0,56,76,35 
12,256,9,'212142',1912,0,0,58,75,40 
13,257,9,'212142',1912,0.95,0,58,70,46 
14,258,9,'212142',1912,0,0,46,51,40 
15,259,9,'212142',1912,0,0,50,58,42 
16,260,9,'212142',1912,0.2,0,48,61,34 
17,261,9,'212142',1912,0.22,0,49,59,38 
18,262,9,'212142',1912,0,0,51,68,33 
19,263,9,'212142',1912,0,0,55,74,36 
20,264,9,'212142',1912,1,0,45,51,39 
21,265,9,'212142',1912,0,0,43,46,40 
22,266,9,'212142',1912,0.4,0,46,53,38 
23,267,9,'212142',1912,0.15,0,52,62,41 
24,268,9,'212142',1912,0,0,48,50,45 
25,269,9,'212142',1912,1.5,2,33,35,30 
26,270,9,'212142',1912,0.35,1,36,43,28 
27,271,9,'212142',1912,0,0,40,53,27 
28,272,9,'212142',1912,0,0,42,56,28 
29,273,9,'212142',1912,0,0,39,53,25 
30,274,9,'212142',1912,0,0,46,63,28 
1,275,10,'212142',1912,0,.,52,73,30 
2,276,10,'212142',1912,0,.,58,76,39 
3,277,10,'212142',1912,0,.,57,79,34 
4,278,10,'212142',1912,0,.,61,78,43 
5,279,10,'212142',1912,0,.,63,80,45 
6,280,10,'212142',1912,0.35,.,42,46,38 
7,281,10,'212142',1912,0,.,46,64,28 
8,282,10,'212142',1912,0,.,50,65,34 
9,283,10,'212142',1912,0,.,45,51,39 
10,284,10,'212142',1912,0,.,44,50,38 
11,285,10,'212142',1912,0,.,35,41,28 
12,286,10,'212142',1912,0,.,38,51,24 
13,287,10,'212142',1912,0,.,44,64,24 
14,288,10,'212142',1912,0,.,43,60,25 
15,289,10,'212142',1912,0,.,44,65,22 
16,290,10,'212142',1912,0,.,57,73,40 
17,291,10,'212142',1912,0,.,52,74,30 
18,292,10,'212142',1912,0,.,43,45,40 
19,293,10,'212142',1912,0.15,.,47,65,28 
20,294,10,'212142',1912,0,.,44,54,34 
21,295,10,'212142',1912,0,.,39,44,34 
22,296,10,'212142',1912,0,.,32,45,18 
23,297,10,'212142',1912,0,.,42,60,24 
24,298,10,'212142',1912,0,.,49,59,38 
25,299,10,'212142',1912,0,.,40,60,19 
26,300,10,'212142',1912,0,.,47,65,29 
27,301,10,'212142',1912,0,.,44,61,26 
28,302,10,'212142',1912,0,.,44,55,33 
29,303,10,'212142',1912,0,.,28,30,26 
30,304,10,'212142',1912,0.13,.,24,37,10 
31,305,10,'212142',1912,0,.,29,38,20 
1,306,11,'212142',1912,0,0,23,26,19 
2,307,11,'212142',1912,0,0,32,50,14 
3,308,11,'212142',1912,0,0,39,52,26 
4,309,11,'212142',1912,0,0,36,39,32 
5,310,11,'212142',1912,0,0,30,35,25 
6,311,11,'212142',1912,0,0,40,54,26 
7,312,11,'212142',1912,0,0,42,54,30 
8,313,11,'212142',1912,0,0,35,39,30 
9,314,11,'212142',1912,0,0,25,31,19 
10,315,11,'212142',1912,0,0,47,64,30 
11,316,11,'212142',1912,0,0,35,40,29 
12,317,11,'212142',1912,0,0,30,38,22 
13,318,11,'212142',1912,0,0,23,31,15 
14,319,11,'212142',1912,0,0,28,36,20 
15,320,11,'212142',1912,0,0,32,41,23 
16,321,11,'212142',1912,0,0,32,39,24 
17,322,11,'212142',1912,0,0,36,54,18 
18,323,11,'212142',1912,0,0,.,.,20 
19,324,11,'212142',1912,0,0,.,67,. 
20,325,11,'212142',1912,0,0,37,45,29 
21,326,11,'212142',1912,0,0,36,47,24 
22,327,11,'212142',1912,0,0,32,38,25 
23,328,11,'212142',1912,0.03,2,23,25,21 
24,329,11,'212142',1912,0,0,22,28,16 
25,330,11,'212142',1912,0.17,3,24,29,18 
26,331,11,'212142',1912,0,0,17,21,12 
27,332,11,'212142',1912,0,0,18,25,10 
28,333,11,'212142',1912,0,0,24,40,8 
29,334,11,'212142',1912,0,0,30,36,23 
30,335,11,'212142',1912,0,0,31,40,22 
1,336,12,'212142',1912,.,0,33,37,28 
2,337,12,'212142',1912,0,0,13,26,-1 
3,338,12,'212142',1912,0,0,16,33,-2 
4,339,12,'212142',1912,0.01,2,28,38,18 
5,340,12,'212142',1912,0,0,10,12,8 
6,341,12,'212142',1912,.,0,11,30,-8 
7,342,12,'212142',1912,.,0,14,28,0 
8,343,12,'212142',1912,.,0,2,18,-15 
9,344,12,'212142',1912,.,0,13,40,-14 
10,345,12,'212142',1912,.,0,8,10,5 
11,346,12,'212142',1912,0,0,-7,-3,-10 
12,347,12,'212142',1912,.,0,4,23,-16 
13,348,12,'212142',1912,.,0,19,40,-3 
14,349,12,'212142',1912,.,0,26,41,10 
15,350,12,'212142',1912,0,0,26,31,20 
16,351,12,'212142',1912,0.08,0,22,28,16 
17,352,12,'212142',1912,0,0.2,24,27,20 
18,353,12,'212142',1912,0.15,1,22,25,18 
19,354,12,'212142',1912,0,0,21,25,17 
20,355,12,'212142',1912,0.05,0.5,15,15,15 
21,356,12,'212142',1912,0,0,2,9,-5 
22,357,12,'212142',1912,0,0,6,20,-8 
23,358,12,'212142',1912,.,0,9,24,-6 
24,359,12,'212142',1912,.,0,21,32,10 
25,360,12,'212142',1912,0.4,4,20,20,20 
26,361,12,'212142',1912,.,0,13,16,10 
27,362,12,'212142',1912,0,0,13,24,2 
28,363,12,'212142',1912,.,0,22,34,10 
29,364,12,'212142',1912,.,0,17,33,1 
30,365,12,'212142',1912,.,0,23,36,10 
31,366,12,'212142',1912,0,0,16,28,4 
1,1,1,'212142',1913,0,0,23,34,11 
2,2,1,'212142',1913,0,0,6,9,3 
3,3,1,'212142',1913,0,0,2,4,-1 
4,4,1,'212142',1913,0,0,-9,5,-23 
5,5,1,'212142',1913,0,0,-20,-15,-25 
6,6,1,'212142',1913,0,0,-24,-12,-36 
7,7,1,'212142',1913,0,0,-18,-3,-32 
8,8,1,'212142',1913,0,0,-11,10,-31 
9,9,1,'212142',1913,0,0,-2,12,-16 
10,10,1,'212142',1913,0,0,2,6,-3 
11,11,1,'212142',1913,0.02,0.5,-21,-16,-25 
12,12,1,'212142',1913,0,0,-26,-8,-44 
13,13,1,'212142',1913,0,0,-17,11,-44 
14,14,1,'212142',1913,0,0,-8,8,-24 
15,15,1,'212142',1913,0,0,-1,24,-25 
16,16,1,'212142',1913,0,0,13,25,1 
17,17,1,'212142',1913,0,0,-12,-8,-16 
18,18,1,'212142',1913,0,0,-16,-7,-25 
19,19,1,'212142',1913,0,0,-16,-7,-25 
20,20,1,'212142',1913,0,0,-5,14,-23 
21,21,1,'212142',1913,0,0,-10,8,-28 
22,22,1,'212142',1913,0,0,9,30,-12 
23,23,1,'212142',1913,0,0,-1,11,-12 
24,24,1,'212142',1913,0,0,-6,2,-14 
25,25,1,'212142',1913,0.05,1,8,30,-14 
26,26,1,'212142',1913,0.07,1,4,11,-4 
27,27,1,'212142',1913,0,0,-1,15,-16 
28,28,1,'212142',1913,0,0.5,4,35,-27 
29,29,1,'212142',1913,0.05,1,12,26,-3 
30,30,1,'212142',1913,0.2,1,17,22,12 
31,31,1,'212142',1913,0,0,-9,-3,-15 
1,32,2,'212142',1913,0,0,-19,-2,-36 
2,33,2,'212142',1913,0,0,-11,14,-36 
3,34,2,'212142',1913,0,0,-21,-5,-37 
4,35,2,'212142',1913,0,0,-25,-12,-37 
5,36,2,'212142',1913,0,0,-14,-3,-25 
6,37,2,'212142',1913,0,0,-4,10,-17 
7,38,2,'212142',1913,0,0,8,20,-4 
8,39,2,'212142',1913,0,0,6,15,-4 
9,40,2,'212142',1913,0,0,9,21,-4 
10,41,2,'212142',1913,0,0,1,1,1 
11,42,2,'212142',1913,0,0,-14,12,-40 
12,43,2,'212142',1913,0,0,8,32,-16 
13,44,2,'212142',1913,0,0,20,28,12 
14,45,2,'212142',1913,0,0,24,34,14 
15,46,2,'212142',1913,0.15,1,19,26,11 
16,47,2,'212142',1913,0,0,26,38,14 
17,48,2,'212142',1913,0,0,25,36,14 
18,49,2,'212142',1913,0,0,13,18,8 
19,50,2,'212142',1913,0,0,8,14,1 
20,51,2,'212142',1913,0,0,8,15,1 
21,52,2,'212142',1913,0,0,8,11,4 
22,53,2,'212142',1913,0,0,1,16,-14 
23,54,2,'212142',1913,0,0,-1,13,-14 
24,55,2,'212142',1913,0,0,4,23,-16 
25,56,2,'212142',1913,0.08,1,7,30,-16 
26,57,2,'212142',1913,0,0,-11,-3,-18 
27,58,2,'212142',1913,0,0,-10,8,-28 
28,59,2,'212142',1913,0,0,-6,13,-24 
1,60,3,'212142',1913,0,0,-9,6,-24 
2,61,3,'212142',1913,0,0,-3,26,-31 
3,62,3,'212142',1913,0.12,2,1,20,-19 
4,63,3,'212142',1913,0,0,0,22,-22 
5,64,3,'212142',1913,0,0,0,4,-4 
6,65,3,'212142',1913,0,0,-5,14,-24 
7,66,3,'212142',1913,0,0,6,28,-16 
8,67,3,'212142',1913,0,0,17,25,8 
9,68,3,'212142',1913,0,0,24,28,19 
10,69,3,'212142',1913,0,0,29,40,17 
11,70,3,'212142',1913,0,0,28,35,20 
12,71,3,'212142',1913,0.4,4,31,34,27 
13,72,3,'212142',1913,0,0,23,28,18 
14,73,3,'212142',1913,0,0,14,24,4 
15,74,3,'212142',1913,0,0,8,16,-1 
16,75,3,'212142',1913,0.08,1,8,16,0 
17,76,3,'212142',1913,0,0,12,22,2 
18,77,3,'212142',1913,0,0,19,27,10 
19,78,3,'212142',1913,0,0,17,18,15 
20,79,3,'212142',1913,0.05,1,-1,10,-12 
21,80,3,'212142',1913,0.05,2,3,15,-10 
22,81,3,'212142',1913,0,0,8,30,-14 
23,82,3,'212142',1913,0,0,11,24,-3 
24,83,3,'212142',1913,0.06,1,19,25,12 
25,84,3,'212142',1913,0,0,6,12,0 
26,85,3,'212142',1913,0,0,6,18,-6 
27,86,3,'212142',1913,0,0,7,27,-14 
28,87,3,'212142',1913,0,0,23,48,-3 
29,88,3,'212142',1913,0,0,36,50,22 
30,89,3,'212142',1913,0,0,39,47,30 
31,90,3,'212142',1913,0.25,0,40,52,28 
1,91,4,'212142',1913,0,0,42,57,26 
2,92,4,'212142',1913,0,0,34,41,26 
3,93,4,'212142',1913,0,0,35,40,30 
4,94,4,'212142',1913,0,0,37,44,29 
