Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC
Day  ,JD  ,Month  ,State_id  ,Year  ,PRCP (in),TAVE (F),TMAX (F),TMIN (F) 
6,157,6,'417945',1959,0.02,78,88,68 
7,158,6,'417945',1959,0,78,88,67 
8,159,6,'417945',1959,0,80,90,70 
9,160,6,'417945',1959,0,82,94,69 
10,161,6,'417945',1959,0,87,97,76 
11,162,6,'417945',1959,0,86,96,76 
12,163,6,'417945',1959,0,85,95,75 
13,164,6,'417945',1959,0,85,98,72 
14,165,6,'417945',1959,0,85,94,75 
15,166,6,'417945',1959,0,84,96,71 
16,167,6,'417945',1959,0,81,93,68 
17,168,6,'417945',1959,0,83,95,70 
18,169,6,'417945',1959,0,84,97,71 
19,170,6,'417945',1959,0,85,99,71 
20,171,6,'417945',1959,0,87,100,73 
21,172,6,'417945',1959,0,87,98,75 
22,173,6,'417945',1959,0,86,96,75 
23,174,6,'417945',1959,0,87,97,77 
24,175,6,'417945',1959,0.02,81,91,71 
25,176,6,'417945',1959,1.17,77,84,70 
26,177,6,'417945',1959,0.1,81,88,74 
27,178,6,'417945',1959,0,83,90,75 
28,179,6,'417945',1959,0,84,92,75 
29,180,6,'417945',1959,0,85,94,75 
30,181,6,'417945',1959,0,84,93,75 
1,182,7,'417945',1959,0,83,93,73 
2,183,7,'417945',1959,0,83,95,70 
3,184,7,'417945',1959,0,83,96,70 
4,185,7,'417945',1959,0,82,97,67 
5,186,7,'417945',1959,0,85,95,74 
6,187,7,'417945',1959,0,86,95,76 
7,188,7,'417945',1959,0,86,96,76 
8,189,7,'417945',1959,0,86,97,75 
9,190,7,'417945',1959,0,84,96,72 
10,191,7,'417945',1959,0,85,97,73 
11,192,7,'417945',1959,0.82,86,99,73 
12,193,7,'417945',1959,0.06,82,92,72 
13,194,7,'417945',1959,0,82,93,71 
14,195,7,'417945',1959,0,85,95,74 
15,196,7,'417945',1959,0,85,96,74 
16,197,7,'417945',1959,0,85,95,75 
17,198,7,'417945',1959,0,84,98,70 
18,199,7,'417945',1959,0,86,98,74 
19,200,7,'417945',1959,0.04,84,95,73 
20,201,7,'417945',1959,0.18,83,93,73 
21,202,7,'417945',1959,0.04,83,93,73 
22,203,7,'417945',1959,0,84,95,73 
23,204,7,'417945',1959,0,85,98,72 
24,205,7,'417945',1959,0.34,84,92,75 
25,206,7,'417945',1959,0,83,93,72 
26,207,7,'417945',1959,0,81,93,69 
27,208,7,'417945',1959,0,84,96,72 
28,209,7,'417945',1959,0,86,96,75 
29,210,7,'417945',1959,0,85,94,76 
30,211,7,'417945',1959,0,83,94,72 
31,212,7,'417945',1959,0,84,96,72 
1,213,8,'417945',1959,0,86,98,74 
2,214,8,'417945',1959,0,87,100,74 
3,215,8,'417945',1959,0,87,101,73 
4,216,8,'417945',1959,0,87,99,74 
5,217,8,'417945',1959,0,87,99,75 
6,218,8,'417945',1959,0,87,98,76 
7,219,8,'417945',1959,0,88,100,76 
8,220,8,'417945',1959,1.7,84,95,72 
9,221,8,'417945',1959,0,84,95,72 
10,222,8,'417945',1959,0,83,96,70 
11,223,8,'417945',1959,0,85,97,73 
12,224,8,'417945',1959,0,87,98,76 
13,225,8,'417945',1959,0,82,92,72 
14,226,8,'417945',1959,0,86,95,76 
15,227,8,'417945',1959,0,85,96,74 
16,228,8,'417945',1959,0,84,96,72 
17,229,8,'417945',1959,0,86,95,76 
18,230,8,'417945',1959,0,88,97,78 
19,231,8,'417945',1959,0,87,97,76 
20,232,8,'417945',1959,0,85,95,75 
21,233,8,'417945',1959,0,83,91,74 
22,234,8,'417945',1959,0,85,95,74 
23,235,8,'417945',1959,0.15,80,86,73 
24,236,8,'417945',1959,0.75,79,86,71 
25,237,8,'417945',1959,0.18,77,83,71 
26,238,8,'417945',1959,0.16,80,88,72 
27,239,8,'417945',1959,0.09,84,91,76 
28,240,8,'417945',1959,0,86,94,77 
29,241,8,'417945',1959,0,86,96,76 
30,242,8,'417945',1959,0,86,99,72 
31,243,8,'417945',1959,0.02,82,95,69 
1,244,9,'417945',1959,0,88,101,75 
2,245,9,'417945',1959,0,87,96,77 
3,246,9,'417945',1959,0,87,96,77 
4,247,9,'417945',1959,0,87,97,76 
5,248,9,'417945',1959,0,86,96,76 
6,249,9,'417945',1959,0,84,96,71 
7,250,9,'417945',1959,0.2,84,94,73 
8,251,9,'417945',1959,0.3,77,83,71 
9,252,9,'417945',1959,0.02,83,92,74 
10,253,9,'417945',1959,0.18,83,93,73 
11,254,9,'417945',1959,0,76,87,65 
12,255,9,'417945',1959,0,70,83,57 
13,256,9,'417945',1959,0.08,73,80,66 
14,257,9,'417945',1959,0,73,84,62 
15,258,9,'417945',1959,0,76,91,60 
16,259,9,'417945',1959,0,82,94,70 
17,260,9,'417945',1959,0,81,91,70 
18,261,9,'417945',1959,0,80,92,68 
19,262,9,'417945',1959,0,84,93,74 
20,263,9,'417945',1959,0,84,93,74 
21,264,9,'417945',1959,0,82,91,72 
22,265,9,'417945',1959,0.06,81,88,74 
23,266,9,'417945',1959,0.3,81,88,74 
24,267,9,'417945',1959,0.12,79,84,73 
25,268,9,'417945',1959,0.21,82,90,73 
26,269,9,'417945',1959,0,85,95,75 
27,270,9,'417945',1959,0,85,94,76 
28,271,9,'417945',1959,0,85,92,78 
29,272,9,'417945',1959,0.25,79,90,67 
30,273,9,'417945',1959,0,83,92,74 
1,274,10,'417945',1959,0,84,93,74 
2,275,10,'417945',1959,0,85,94,75 
3,276,10,'417945',1959,0.14,81,88,74 
4,277,10,'417945',1959,3.66,73,79,66 
5,278,10,'417945',1959,0,72,84,60 
6,279,10,'417945',1959,0,76,89,62 
7,280,10,'417945',1959,0,75,87,62 
8,281,10,'417945',1959,0,77,88,66 
9,282,10,'417945',1959,0,73,81,64 
10,283,10,'417945',1959,0,77,87,66 
11,284,10,'417945',1959,0,76,88,63 
12,285,10,'417945',1959,0.01,76,86,65 
13,286,10,'417945',1959,0.91,76,84,67 
14,287,10,'417945',1959,0.01,64,74,54 
15,288,10,'417945',1959,0,65,77,52 
16,289,10,'417945',1959,0,66,79,52 
17,290,10,'417945',1959,0,68,79,57 
18,291,10,'417945',1959,0,63,76,50 
19,292,10,'417945',1959,0,61,76,45 
20,293,10,'417945',1959,0,64,78,49 
21,294,10,'417945',1959,0,70,84,55 
22,295,10,'417945',1959,0,69,81,57 
23,296,10,'417945',1959,0,72,86,57 
24,297,10,'417945',1959,0,70,82,57 
25,298,10,'417945',1959,0,65,82,48 
26,299,10,'417945',1959,0,72,89,55 
27,300,10,'417945',1959,0,58,70,45 
28,301,10,'417945',1959,0,58,71,44 
29,302,10,'417945',1959,0.11,60,65,55 
30,303,10,'417945',1959,0.09,72,80,64 
31,304,10,'417945',1959,0.18,73,77,69 
1,305,11,'417945',1959,0.01,67,71,62 
2,306,11,'417945',1959,0,74,82,66 
3,307,11,'417945',1959,0,76,81,71 
4,308,11,'417945',1959,0,70,85,55 
5,309,11,'417945',1959,0,53,63,43 
6,310,11,'417945',1959,0,44,55,33 
7,311,11,'417945',1959,0,43,58,27 
8,312,11,'417945',1959,0,46,63,29 
9,313,11,'417945',1959,0,52,67,36 
10,314,11,'417945',1959,0,51,62,40 
11,315,11,'417945',1959,0,62,76,47 
12,316,11,'417945',1959,0,67,78,55 
13,317,11,'417945',1959,0,58,75,40 
14,318,11,'417945',1959,0.85,37,40,33 
15,319,11,'417945',1959,0.11,38,43,33 
16,320,11,'417945',1959,0,53,67,38 
17,321,11,'417945',1959,0,39,48,30 
18,322,11,'417945',1959,0,39,55,23 
19,323,11,'417945',1959,0,46,63,28 
20,324,11,'417945',1959,0,55,71,39 
21,325,11,'417945',1959,0,60,68,51 
22,326,11,'417945',1959,0,61,76,46 
23,327,11,'417945',1959,1.2,57,68,46 
24,328,11,'417945',1959,0,57,72,42 
25,329,11,'417945',1959,0,56,74,37 
26,330,11,'417945',1959,0,60,76,43 
27,331,11,'417945',1959,0,44,55,32 
28,332,11,'417945',1959,0,44,58,29 
29,333,11,'417945',1959,0,45,61,29 
30,334,11,'417945',1959,0,51,67,34 
1,335,12,'417945',1959,0,60,71,49 
2,336,12,'417945',1959,0,55,69,41 
3,337,12,'417945',1959,0,53,69,36 
4,338,12,'417945',1959,0.08,57,64,50 
5,339,12,'417945',1959,0,48,59,37 
6,340,12,'417945',1959,0,45,61,29 
7,341,12,'417945',1959,0,53,72,33 
8,342,12,'417945',1959,0,53,72,34 
9,343,12,'417945',1959,0.02,63,67,58 
10,344,12,'417945',1959,0,66,73,59 
11,345,12,'417945',1959,0.05,64,76,51 
12,346,12,'417945',1959,0,55,69,41 
13,347,12,'417945',1959,0,55,69,40 
14,348,12,'417945',1959,0,62,70,53 
15,349,12,'417945',1959,0.42,58,68,48 
16,350,12,'417945',1959,0.05,48,56,40 
17,351,12,'417945',1959,0,50,60,40 
18,352,12,'417945',1959,0,49,56,41 
19,353,12,'417945',1959,0,48,61,34 
20,354,12,'417945',1959,0,47,60,34 
21,355,12,'417945',1959,0,48,60,35 
22,356,12,'417945',1959,0,53,64,41 
23,357,12,'417945',1959,0,58,67,49 
24,358,12,'417945',1959,0,54,60,48 
25,359,12,'417945',1959,0,57,62,51 
26,360,12,'417945',1959,0.01,66,71,60 
27,361,12,'417945',1959,0,53,66,40 
28,362,12,'417945',1959,0,49,63,35 
29,363,12,'417945',1959,0,53,65,41 
30,364,12,'417945',1959,0,48,54,41 
31,365,12,'417945',1959,0.89,53,61,45 
1,1,1,'417945',1960,0,48,52,44 
2,2,1,'417945',1960,0.01,57,66,47 
3,3,1,'417945',1960,0,45,50,39 
4,4,1,'417945',1960,0.02,44,48,39 
5,5,1,'417945',1960,0.31,44,47,41 
6,6,1,'417945',1960,0,41,50,32 
7,7,1,'417945',1960,0,44,60,27 
8,8,1,'417945',1960,0,51,66,35 
9,9,1,'417945',1960,0.06,58,60,55 
10,10,1,'417945',1960,0,65,69,60 
11,11,1,'417945',1960,0,69,73,65 
12,12,1,'417945',1960,0,68,73,63 
13,13,1,'417945',1960,0.15,68,70,65 
14,14,1,'417945',1960,0,62,74,50 
15,15,1,'417945',1960,0,53,64,42 
16,16,1,'417945',1960,0.07,47,51,43 
17,17,1,'417945',1960,0,52,63,41 
18,18,1,'417945',1960,0,43,53,32 
19,19,1,'417945',1960,0,33,40,26 
20,20,1,'417945',1960,0,36,48,24 
21,21,1,'417945',1960,0,39,54,23 
22,22,1,'417945',1960,0,41,55,26 
23,23,1,'417945',1960,0.06,43,48,38 
24,24,1,'417945',1960,0.02,43,48,37 
25,25,1,'417945',1960,0.02,46,50,42 
26,26,1,'417945',1960,0.04,56,62,49 
27,27,1,'417945',1960,0,57,76,38 
28,28,1,'417945',1960,0,55,67,43 
29,29,1,'417945',1960,0,52,65,39 
30,30,1,'417945',1960,0,51,69,32 
31,31,1,'417945',1960,0,47,63,31 
1,32,2,'417945',1960,0.06,55,65,44 
2,33,2,'417945',1960,0,59,64,54 
3,34,2,'417945',1960,0.63,58,68,48 
4,35,2,'417945',1960,0,51,58,43 
5,36,2,'417945',1960,0,53,63,43 
6,37,2,'417945',1960,0,50,66,33 
7,38,2,'417945',1960,0,56,70,42 
8,39,2,'417945',1960,0,56,74,38 
9,40,2,'417945',1960,0,65,87,43 
10,41,2,'417945',1960,0,63,73,52 
11,42,2,'417945',1960,0,50,54,45 
12,43,2,'417945',1960,0.05,41,46,35 
13,44,2,'417945',1960,0,44,62,25 
14,45,2,'417945',1960,0,49,66,32 
15,46,2,'417945',1960,0,51,64,37 
16,47,2,'417945',1960,0,49,67,30 
17,48,2,'417945',1960,0,53,67,38 
18,49,2,'417945',1960,0,49,61,37 
19,50,2,'417945',1960,0,48,63,33 
20,51,2,'417945',1960,0.16,57,61,53 
21,52,2,'417945',1960,0,49,60,38 
22,53,2,'417945',1960,0,46,63,29 
23,54,2,'417945',1960,0.06,46,56,36 
24,55,2,'417945',1960,0.02,34,40,27 
25,56,2,'417945',1960,0,35,49,21 
26,57,2,'417945',1960,0,41,55,26 
27,58,2,'417945',1960,0.01,51,56,45 
28,59,2,'417945',1960,0.04,54,63,44 
29,60,2,'417945',1960,0.19,39,45,33 
1,61,3,'417945',1960,0.07,36,38,34 
2,62,3,'417945',1960,0.03,48,60,35 
3,63,3,'417945',1960,0,41,51,31 
4,64,3,'417945',1960,0,40,44,35 
5,65,3,'417945',1960,0,41,44,37 
6,66,3,'417945',1960,0.01,42,44,39 
7,67,3,'417945',1960,0,47,52,42 
8,68,3,'417945',1960,0.01,57,68,45 
9,69,3,'417945',1960,0,63,72,54 
10,70,3,'417945',1960,0,64,70,57 
11,71,3,'417945',1960,0,54,62,46 
12,72,3,'417945',1960,0,51,55,46 
13,73,3,'417945',1960,0.03,47,51,43 
14,74,3,'417945',1960,0.17,56,69,42 
15,75,3,'417945',1960,0,63,79,47 
16,76,3,'417945',1960,0,53,66,39 
17,77,3,'417945',1960,0,48,58,38 
18,78,3,'417945',1960,0,56,75,36 
19,79,3,'417945',1960,0,60,78,41 
20,80,3,'417945',1960,0,61,80,41 
21,81,3,'417945',1960,0,61,79,43 
22,82,3,'417945',1960,0,68,78,58 
23,83,3,'417945',1960,0,66,81,51 
24,84,3,'417945',1960,0,69,82,56 
25,85,3,'417945',1960,1.26,60,67,53 
26,86,3,'417945',1960,0.07,58,64,51 
27,87,3,'417945',1960,0,62,73,50 
28,88,3,'417945',1960,0,65,73,57 
29,89,3,'417945',1960,0,75,89,60 
30,90,3,'417945',1960,0,65,80,49 
31,91,3,'417945',1960,0,69,83,54 
1,92,4,'417945',1960,0,72,84,59 
2,93,4,'417945',1960,0.06,63,73,52 
3,94,4,'417945',1960,0.01,60,72,48 
4,95,4,'417945',1960,0,62,84,40 
5,96,4,'417945',1960,0,66,83,49 
6,97,4,'417945',1960,0,69,89,49 
7,98,4,'417945',1960,0,67,87,47 
8,99,4,'417945',1960,0,68,85,50 
9,100,4,'417945',1960,0,70,76,64 
10,101,4,'417945',1960,0,70,77,63 
11,102,4,'417945',1960,0,69,75,63 
12,103,4,'417945',1960,0,69,73,64 
13,104,4,'417945',1960,0,70,74,66 
14,105,4,'417945',1960,0,70,75,64 
15,106,4,'417945',1960,0,75,84,65 
16,107,4,'417945',1960,0,77,87,67 
17,108,4,'417945',1960,0,64,74,54 
18,109,4,'417945',1960,0,62,75,48 
19,110,4,'417945',1960,0,65,81,48 
20,111,4,'417945',1960,0,74,85,62 
21,112,4,'417945',1960,0,76,86,66 
22,113,4,'417945',1960,0,74,82,66 
23,114,4,'417945',1960,0,76,84,67 
24,115,4,'417945',1960,0,76,83,68 
25,116,4,'417945',1960,0.84,73,84,61 
26,117,4,'417945',1960,0.01,71,82,59 
27,118,4,'417945',1960,0,72,80,63 
28,119,4,'417945',1960,0,76,83,68 
29,120,4,'417945',1960,1.16,77,87,66 
30,121,4,'417945',1960,0,67,75,58 
1,122,5,'417945',1960,0.27,64,73,54 
2,123,5,'417945',1960,0.04,63,71,54 
3,124,5,'417945',1960,0.1,66,70,62 
4,125,5,'417945',1960,0,74,85,63 
5,126,5,'417945',1960,0,78,85,71 
6,127,5,'417945',1960,0.02,71,80,61 
7,128,5,'417945',1960,0,68,81,54 
8,129,5,'417945',1960,0,68,86,49 
9,130,5,'417945',1960,0,73,87,59 
10,131,5,'417945',1960,0,73,87,58 
11,132,5,'417945',1960,0.28,68,76,59 
12,133,5,'417945',1960,0,61,74,48 
13,134,5,'417945',1960,0,66,84,48 
14,135,5,'417945',1960,0,80,91,68 
15,136,5,'417945',1960,0,81,91,70 
16,137,5,'417945',1960,0,80,91,69 
17,138,5,'417945',1960,0,76,82,70 
18,139,5,'417945',1960,0,79,86,72 
19,140,5,'417945',1960,0,80,87,73 
20,141,5,'417945',1960,0.44,70,80,59 
21,142,5,'417945',1960,0,70,85,55 
22,143,5,'417945',1960,0,81,91,70 
23,144,5,'417945',1960,0.05,77,86,67 
24,145,5,'417945',1960,0,79,85,72 
25,146,5,'417945',1960,0,76,80,72 
26,147,5,'417945',1960,0.01,81,91,71 
27,148,5,'417945',1960,0,81,92,70 
28,149,5,'417945',1960,0,81,92,69 
29,150,5,'417945',1960,0,79,86,71 
30,151,5,'417945',1960,0,81,90,71 
31,152,5,'417945',1960,0,78,91,65 
1,153,6,'417945',1960,0,81,91,71 
2,154,6,'417945',1960,0,86,98,73 
3,155,6,'417945',1960,0,84,97,70 
4,156,6,'417945',1960,0,84,98,70 
5,157,6,'417945',1960,0,82,97,67 
6,158,6,'417945',1960,0,82,93,71 
7,159,6,'417945',1960,0,82,93,71 
8,160,6,'417945',1960,0,82,93,70 
9,161,6,'417945',1960,0,82,94,69 
10,162,6,'417945',1960,0.02,82,93,71 
11,163,6,'417945',1960,0,82,93,71 
12,164,6,'417945',1960,0,85,97,72 
13,165,6,'417945',1960,0,87,100,73 
14,166,6,'417945',1960,0,85,101,68 
15,167,6,'417945',1960,0,88,103,72 
16,168,6,'417945',1960,0,86,102,70 
17,169,6,'417945',1960,0,86,97,75 
18,170,6,'417945',1960,0,85,98,72 
19,171,6,'417945',1960,0,86,97,75 
20,172,6,'417945',1960,0,86,99,72 
21,173,6,'417945',1960,0,87,99,75 
22,174,6,'417945',1960,0,87,98,75 
23,175,6,'417945',1960,0,84,92,75 
24,176,6,'417945',1960,2.15,74,77,70 
25,177,6,'417945',1960,0.53,74,76,72 
26,178,6,'417945',1960,0,81,91,70 
27,179,6,'417945',1960,0,84,92,76 
28,180,6,'417945',1960,0,83,93,73 
29,181,6,'417945',1960,0,83,93,73 
30,182,6,'417945',1960,0,84,93,74 
1,183,7,'417945',1960,0,84,93,75 
2,184,7,'417945',1960,0,85,94,75 
3,185,7,'417945',1960,0,85,95,75 
4,186,7,'417945',1960,0,86,95,76 
5,187,7,'417945',1960,0,86,95,76 
6,188,7,'417945',1960,0,85,94,76 
7,189,7,'417945',1960,0,85,94,75 
8,190,7,'417945',1960,0,85,94,75 
9,191,7,'417945',1960,0,84,94,73 
10,192,7,'417945',1960,0,85,95,74 
11,193,7,'417945',1960,0,86,98,74 
12,194,7,'417945',1960,0,86,98,73 
13,195,7,'417945',1960,0,87,99,74 
14,196,7,'417945',1960,0.01,84,93,74 
15,197,7,'417945',1960,0,81,90,72 
16,198,7,'417945',1960,0.62,82,91,72 
17,199,7,'417945',1960,0.05,81,90,72 
18,200,7,'417945',1960,0.24,77,83,71 
19,201,7,'417945',1960,0,80,87,72 
20,202,7,'417945',1960,0.39,78,83,72 
21,203,7,'417945',1960,0,82,91,73 
22,204,7,'417945',1960,0,83,92,74 
23,205,7,'417945',1960,0,85,95,75 
24,206,7,'417945',1960,0,85,95,74 
25,207,7,'417945',1960,0,84,94,74 
26,208,7,'417945',1960,0,86,96,75 
27,209,7,'417945',1960,0,87,99,74 
28,210,7,'417945',1960,0,87,101,72 
29,211,7,'417945',1960,0,89,102,76 
30,212,7,'417945',1960,0,89,104,74 
31,213,7,'417945',1960,0,90,100,80 
1,214,8,'417945',1960,0,86,98,74 
2,215,8,'417945',1960,0,86,96,76 
3,216,8,'417945',1960,0,87,97,76 
4,217,8,'417945',1960,0,88,97,78 
5,218,8,'417945',1960,0,87,97,77 
6,219,8,'417945',1960,0,86,97,74 
7,220,8,'417945',1960,0,87,97,77 
8,221,8,'417945',1960,0,86,96,75 
9,222,8,'417945',1960,0,86,96,76 
10,223,8,'417945',1960,0.37,85,95,74 
11,224,8,'417945',1960,0,78,83,73 
12,225,8,'417945',1960,0,80,90,69 
13,226,8,'417945',1960,0,78,86,69 
14,227,8,'417945',1960,0.22,78,83,72 
15,228,8,'417945',1960,4.94,80,88,71 
16,229,8,'417945',1960,0.01,81,88,74 
17,230,8,'417945',1960,0.01,82,91,73 
18,231,8,'417945',1960,0,85,93,76 
19,232,8,'417945',1960,0,85,94,75 
20,233,8,'417945',1960,0,85,94,76 
21,234,8,'417945',1960,0,85,93,77 
22,235,8,'417945',1960,0.33,86,95,77 
23,236,8,'417945',1960,0,86,94,77 
24,237,8,'417945',1960,0,85,93,76 
25,238,8,'417945',1960,0,85,94,76 
26,239,8,'417945',1960,0,86,95,77 
27,240,8,'417945',1960,0,83,90,75 
28,241,8,'417945',1960,0.06,80,87,73 
29,242,8,'417945',1960,0,81,90,72 
30,243,8,'417945',1960,0.02,82,91,72 
31,244,8,'417945',1960,0,83,92,73 
1,245,9,'417945',1960,0,81,92,70 
2,246,9,'417945',1960,0,81,92,70 
3,247,9,'417945',1960,0.05,81,91,71 
4,248,9,'417945',1960,0.03,80,89,71 
5,249,9,'417945',1960,0,80,91,69 
6,250,9,'417945',1960,0,80,91,68 
7,251,9,'417945',1960,0.02,79,88,70 
8,252,9,'417945',1960,0.31,82,92,72 
9,253,9,'417945',1960,0,82,94,70 
10,254,9,'417945',1960,0.09,80,87,72 
11,255,9,'417945',1960,0,79,91,66 
12,256,9,'417945',1960,0,76,93,59 
13,257,9,'417945',1960,0,77,94,59 
14,258,9,'417945',1960,0,78,94,62 
15,259,9,'417945',1960,0,78,93,63 
16,260,9,'417945',1960,0,79,93,65 
17,261,9,'417945',1960,0,79,92,66 
18,262,9,'417945',1960,0,80,92,68 
19,263,9,'417945',1960,0,80,93,67 
20,264,9,'417945',1960,0,81,94,68 
21,265,9,'417945',1960,0,80,92,67 
22,266,9,'417945',1960,0.09,85,94,75 
23,267,9,'417945',1960,0,81,91,71 
24,268,9,'417945',1960,0.17,79,91,66 
25,269,9,'417945',1960,0,75,85,64 
26,270,9,'417945',1960,0,73,83,62 
27,271,9,'417945',1960,0,73,82,63 
28,272,9,'417945',1960,0,75,89,60 
29,273,9,'417945',1960,0,75,92,57 
30,274,9,'417945',1960,0,75,91,59 
1,275,10,'417945',1960,0,75,89,60 
2,276,10,'417945',1960,0,77,89,64 
3,277,10,'417945',1960,0,78,89,66 
4,278,10,'417945',1960,0,82,91,73 
5,279,10,'417945',1960,0.1,82,94,70 
6,280,10,'417945',1960,0.03,77,93,61 
7,281,10,'417945',1960,0,75,89,60 
8,282,10,'417945',1960,0,74,90,58 
9,283,10,'417945',1960,0,81,92,69 
10,284,10,'417945',1960,0,81,90,71 
11,285,10,'417945',1960,0,78,87,68 
12,286,10,'417945',1960,0,77,84,70 
13,287,10,'417945',1960,0,81,90,72 
14,288,10,'417945',1960,0.54,76,84,68 
15,289,10,'417945',1960,0.01,77,86,68 
16,290,10,'417945',1960,2.9,71,74,68 
17,291,10,'417945',1960,0.54,73,79,67 
18,292,10,'417945',1960,0.72,75,83,66 
19,293,10,'417945',1960,0.01,69,79,58 
20,294,10,'417945',1960,0,61,69,53 
21,295,10,'417945',1960,0,62,72,51 
22,296,10,'417945',1960,0,63,75,51 
23,297,10,'417945',1960,0.02,70,75,65 
24,298,10,'417945',1960,0.57,70,74,66 
25,299,10,'417945',1960,0.25,71,75,66 
26,300,10,'417945',1960,0.53,76,83,68 
27,301,10,'417945',1960,0.01,75,82,68 
28,302,10,'417945',1960,0,78,83,72 
29,303,10,'417945',1960,1.61,71,77,64 
30,304,10,'417945',1960,0,64,75,52 
31,305,10,'417945',1960,0,58,71,44 
1,306,11,'417945',1960,0,61,76,45 
2,307,11,'417945',1960,0,68,86,50 
3,308,11,'417945',1960,0,69,79,59 
4,309,11,'417945',1960,0,72,80,63 
5,310,11,'417945',1960,0,68,79,56 
6,311,11,'417945',1960,0,62,72,51 
7,312,11,'417945',1960,0,59,72,45 
8,313,11,'417945',1960,0.01,64,74,54 
9,314,11,'417945',1960,0.03,64,80,48 
10,315,11,'417945',1960,0,45,51,39 
11,316,11,'417945',1960,0,49,64,34 
12,317,11,'417945',1960,0.04,60,65,55 
13,318,11,'417945',1960,0,69,74,64 
14,319,11,'417945',1960,0,74,79,69 
15,320,11,'417945',1960,0,76,81,70 
16,321,11,'417945',1960,0,67,73,60 
17,322,11,'417945',1960,0.17,58,62,54 
18,323,11,'417945',1960,0,60,63,56 
19,324,11,'417945',1960,0.05,60,62,57 
20,325,11,'417945',1960,0.26,61,64,57 
21,326,11,'417945',1960,0.47,58,60,55 
22,327,11,'417945',1960,0.25,64,71,57 
23,328,11,'417945',1960,0,60,66,53 
24,329,11,'417945',1960,0,57,68,46 
25,330,11,'417945',1960,0,60,73,47 
26,331,11,'417945',1960,0,73,79,67 
27,332,11,'417945',1960,0,74,78,69 
28,333,11,'417945',1960,0.02,64,77,51 
29,334,11,'417945',1960,0,50,62,38 
30,335,11,'417945',1960,0,46,57,34 
1,336,12,'417945',1960,0,47,57,36 
2,337,12,'417945',1960,0,48,60,35 
3,338,12,'417945',1960,0,63,71,55 
4,339,12,'417945',1960,0.03,66,70,61 
5,340,12,'417945',1960,0,69,76,61 
6,341,12,'417945',1960,0.01,63,76,50 
7,342,12,'417945',1960,1.45,47,51,43 
8,343,12,'417945',1960,0.14,46,48,43 
9,344,12,'417945',1960,0.1,45,47,42 
10,345,12,'417945',1960,0.14,47,56,38 
11,346,12,'417945',1960,0,48,61,34 
12,347,12,'417945',1960,0,44,46,41 
13,348,12,'417945',1960,0,42,44,40 
14,349,12,'417945',1960,0.1,42,45,38 
15,350,12,'417945',1960,0,54,70,38 
16,351,12,'417945',1960,0,43,53,32 
17,352,12,'417945',1960,0,46,61,30 
18,353,12,'417945',1960,0,50,67,33 
19,354,12,'417945',1960,0,55,69,40 
20,355,12,'417945',1960,0,51,63,38 
21,356,12,'417945',1960,0,40,53,27 
22,357,12,'417945',1960,0,40,51,28 
23,358,12,'417945',1960,0.06,47,51,42 
24,359,12,'417945',1960,0,56,68,44 
25,360,12,'417945',1960,0,53,66,39 
26,361,12,'417945',1960,0,56,64,48 
27,362,12,'417945',1960,0,59,63,55 
28,363,12,'417945',1960,0.2,55,63,47 
29,364,12,'417945',1960,0.16,47,48,45 
30,365,12,'417945',1960,0.58,45,47,43 
31,366,12,'417945',1960,0,49,59,38 
1,1,1,'417945',1961,0,43,50,35 
2,2,1,'417945',1961,0,47,56,38 
3,3,1,'417945',1961,0,45,55,35 
4,4,1,'417945',1961,0,49,54,43 
5,5,1,'417945',1961,0.05,50,54,46 
6,6,1,'417945',1961,0.22,55,57,52 
7,7,1,'417945',1961,0.17,55,62,47 
8,8,1,'417945',1961,0,47,54,39 
9,9,1,'417945',1961,0,45,59,31 
10,10,1,'417945',1961,0,45,59,31 
11,11,1,'417945',1961,0,50,59,41 
12,12,1,'417945',1961,0,50,60,40 
13,13,1,'417945',1961,0,55,68,42 
14,14,1,'417945',1961,0,54,68,40 
15,15,1,'417945',1961,0,55,73,37 
16,16,1,'417945',1961,0,55,73,36 
17,17,1,'417945',1961,0,56,72,40 
18,18,1,'417945',1961,0,59,72,46 
19,19,1,'417945',1961,0.01,53,65,41 
20,20,1,'417945',1961,0,42,53,30 
21,21,1,'417945',1961,0,41,51,30 
22,22,1,'417945',1961,0,47,54,39 
23,23,1,'417945',1961,0,56,72,40 
24,24,1,'417945',1961,0.01,58,77,39 
25,25,1,'417945',1961,0.22,34,40,28 
26,26,1,'417945',1961,0,37,41,32 
27,27,1,'417945',1961,0,33,38,28 
28,28,1,'417945',1961,0,39,50,28 
29,29,1,'417945',1961,0,41,53,29 
30,30,1,'417945',1961,0,44,59,28 
31,31,1,'417945',1961,0,52,66,37 
1,32,2,'417945',1961,0,61,70,52 
2,33,2,'417945',1961,0,57,73,40 
3,34,2,'417945',1961,0,51,68,34 
4,35,2,'417945',1961,0.01,53,64,41 
5,36,2,'417945',1961,1.57,47,55,39 
6,37,2,'417945',1961,0.11,37,41,32 
7,38,2,'417945',1961,0,44,57,30 
8,39,2,'417945',1961,0,46,61,30 
9,40,2,'417945',1961,0,54,69,38 
10,41,2,'417945',1961,0,59,75,43 
11,42,2,'417945',1961,0,56,74,37 
12,43,2,'417945',1961,0,59,78,40 
